date,amount,category,Text
2025-08-01,5.0,Food,
2025-08-01,1.0,Public transport,
2025-08-02,18.0,Cafe,
2025-08-03,9.0,Cafe,
2025-08-03,5.0,Cafe,
2025-08-03,34.0,Cafe,
2025-08-04,3.0,Public transport,
2025-08-04,5.0,Food,
2025-08-04,5.0,Taxi,
2025-08-05,10.0,Food,
2025-08-05,2.0,Food,
2025-08-05,59.0,Loan given,
2025-08-06,2.0,Food,
2025-08-08,4.0,Food,
2025-08-11,5.0,Food,
2025-08-11,5.0,Public transport,
2025-08-12,1.0,Public transport,
2025-08-12,1.0,Public transport,
2025-08-12,1.0,Public transport,
2025-08-12,25.0,Leisure,
2025-08-13,1.0,Public transport,
2025-08-13,1.0,Public transport,
2025-08-13,1.0,Public transport,
2025-08-14,11.0,Food,
2025-08-15,0.0,Food,
2025-08-15,22.0,Food,
2025-08-15,1.0,Public transport,
2025-08-15,5.0,Food,
2025-08-15,1.0,Public transport,
2025-08-15,1.0,Public transport,
2025-08-16,10.0,Gifts,
2025-08-16,5.0,Food,
2025-08-17,6.0,Food,
2025-08-17,20.0,Cafe,
2025-08-17,11.0,Leisure,
2025-08-17,5.0,Food,
2025-08-18,1.0,Public transport,
2025-08-19,5.0,Public transport,
2025-08-19,71.0,Bought for myself,
2025-08-20,8.0,Cafe,
2025-08-20,5.0,Leisure,
2025-08-20,1.0,Public transport,
2025-08-20,12.0,Taxi,
2025-08-21,5.0,Food,
2025-08-22,4.0,Food,
2025-08-22,6.0,Food,
2025-08-22,1.0,Food,
2025-08-22,1.0,Public transport,
2025-08-22,16.0,Leisure,
2025-08-22,1.0,Food,
2025-08-23,55.0,Food,
2025-08-23,1.0,Public transport,
2025-08-23,1.0,Public transport,
2025-08-25,1.0,Public transport,
2025-08-25,3.0,Food,
2025-08-25,1.0,Public transport,
2025-08-25,1.0,Public transport,
2025-08-26,1.0,Public transport,
2025-08-26,1.0,Food,
2025-08-26,2.0,Food,
2025-08-26,1.0,Public transport,
2025-08-27,1.0,Public transport,
2025-08-27,1.0,Public transport,
2025-08-27,13.0,Cafe,
2025-08-27,6.0,Cafe,
2025-08-28,1.0,Public transport,
2025-08-28,11.0,Gifts,
2025-08-28,93.0,Leisure,
2025-08-28,32.0,Gifts,
